order_id,date,time,Custom_Time,Name of Week,Weekends?
7,"Thursday, 1 January 2015",12:50:37 PM,1:00:00 PM,Thursday,Weekdays
8,"Thursday, 1 January 2015",12:51:37 PM,1:00:00 PM,Thursday,Weekdays
9,"Thursday, 1 January 2015",12:52:01 PM,1:00:00 PM,Thursday,Weekdays
10,"Thursday, 1 January 2015",1:00:15 PM,1:00:00 PM,Thursday,Weekdays
11,"Thursday, 1 January 2015",1:02:59 PM,1:00:00 PM,Thursday,Weekdays
12,"Thursday, 1 January 2015",1:04:41 PM,1:00:00 PM,Thursday,Weekdays
13,"Thursday, 1 January 2015",1:11:55 PM,1:00:00 PM,Thursday,Weekdays
14,"Thursday, 1 January 2015",1:14:19 PM,1:00:00 PM,Thursday,Weekdays
443,"Thursday, 8 January 2015",12:34:20 PM,1:00:00 PM,Thursday,Weekdays
444,"Thursday, 8 January 2015",12:40:05 PM,1:00:00 PM,Thursday,Weekdays
445,"Thursday, 8 January 2015",12:57:39 PM,1:00:00 PM,Thursday,Weekdays
446,"Thursday, 8 January 2015",12:58:01 PM,1:00:00 PM,Thursday,Weekdays
447,"Thursday, 8 January 2015",1:02:00 PM,1:00:00 PM,Thursday,Weekdays
448,"Thursday, 8 January 2015",1:03:34 PM,1:00:00 PM,Thursday,Weekdays
449,"Thursday, 8 January 2015",1:04:15 PM,1:00:00 PM,Thursday,Weekdays
450,"Thursday, 8 January 2015",1:07:53 PM,1:00:00 PM,Thursday,Weekdays
451,"Thursday, 8 January 2015",1:19:06 PM,1:00:00 PM,Thursday,Weekdays
452,"Thursday, 8 January 2015",1:24:11 PM,1:00:00 PM,Thursday,Weekdays
453,"Thursday, 8 January 2015",1:27:14 PM,1:00:00 PM,Thursday,Weekdays
852,"Thursday, 15 January 2015",12:33:51 PM,1:00:00 PM,Thursday,Weekdays
853,"Thursday, 15 January 2015",12:36:39 PM,1:00:00 PM,Thursday,Weekdays
854,"Thursday, 15 January 2015",12:51:19 PM,1:00:00 PM,Thursday,Weekdays
855,"Thursday, 15 January 2015",12:56:54 PM,1:00:00 PM,Thursday,Weekdays
856,"Thursday, 15 January 2015",12:59:20 PM,1:00:00 PM,Thursday,Weekdays
857,"Thursday, 15 January 2015",1:01:53 PM,1:00:00 PM,Thursday,Weekdays
858,"Thursday, 15 January 2015",1:03:42 PM,1:00:00 PM,Thursday,Weekdays
859,"Thursday, 15 January 2015",1:05:13 PM,1:00:00 PM,Thursday,Weekdays
860,"Thursday, 15 January 2015",1:07:53 PM,1:00:00 PM,Thursday,Weekdays
861,"Thursday, 15 January 2015",1:08:44 PM,1:00:00 PM,Thursday,Weekdays
862,"Thursday, 15 January 2015",1:10:45 PM,1:00:00 PM,Thursday,Weekdays
863,"Thursday, 15 January 2015",1:12:29 PM,1:00:00 PM,Thursday,Weekdays
1260,"Thursday, 22 January 2015",12:31:07 PM,1:00:00 PM,Thursday,Weekdays
1261,"Thursday, 22 January 2015",12:32:00 PM,1:00:00 PM,Thursday,Weekdays
1262,"Thursday, 22 January 2015",12:32:33 PM,1:00:00 PM,Thursday,Weekdays
1263,"Thursday, 22 January 2015",12:39:12 PM,1:00:00 PM,Thursday,Weekdays
1264,"Thursday, 22 January 2015",12:58:30 PM,1:00:00 PM,Thursday,Weekdays
1265,"Thursday, 22 January 2015",12:59:26 PM,1:00:00 PM,Thursday,Weekdays
1266,"Thursday, 22 January 2015",12:59:51 PM,1:00:00 PM,Thursday,Weekdays
1267,"Thursday, 22 January 2015",1:01:27 PM,1:00:00 PM,Thursday,Weekdays
1268,"Thursday, 22 January 2015",1:01:39 PM,1:00:00 PM,Thursday,Weekdays
1269,"Thursday, 22 January 2015",1:04:41 PM,1:00:00 PM,Thursday,Weekdays
1270,"Thursday, 22 January 2015",1:12:15 PM,1:00:00 PM,Thursday,Weekdays
1271,"Thursday, 22 January 2015",1:14:17 PM,1:00:00 PM,Thursday,Weekdays
1272,"Thursday, 22 January 2015",1:14:37 PM,1:00:00 PM,Thursday,Weekdays
1273,"Thursday, 22 January 2015",1:21:57 PM,1:00:00 PM,Thursday,Weekdays
1274,"Thursday, 22 January 2015",1:24:14 PM,1:00:00 PM,Thursday,Weekdays
1275,"Thursday, 22 January 2015",1:26:25 PM,1:00:00 PM,Thursday,Weekdays
1676,"Thursday, 29 January 2015",12:39:31 PM,1:00:00 PM,Thursday,Weekdays
1677,"Thursday, 29 January 2015",12:45:39 PM,1:00:00 PM,Thursday,Weekdays
1678,"Thursday, 29 January 2015",1:06:51 PM,1:00:00 PM,Thursday,Weekdays
1679,"Thursday, 29 January 2015",1:08:52 PM,1:00:00 PM,Thursday,Weekdays
1680,"Thursday, 29 January 2015",1:10:44 PM,1:00:00 PM,Thursday,Weekdays
1681,"Thursday, 29 January 2015",1:23:39 PM,1:00:00 PM,Thursday,Weekdays
1682,"Thursday, 29 January 2015",1:27:10 PM,1:00:00 PM,Thursday,Weekdays
1683,"Thursday, 29 January 2015",1:27:41 PM,1:00:00 PM,Thursday,Weekdays
2119,"Thursday, 5 February 2015",12:30:46 PM,1:00:00 PM,Thursday,Weekdays
2120,"Thursday, 5 February 2015",12:47:12 PM,1:00:00 PM,Thursday,Weekdays
2121,"Thursday, 5 February 2015",12:50:51 PM,1:00:00 PM,Thursday,Weekdays
2122,"Thursday, 5 February 2015",12:52:55 PM,1:00:00 PM,Thursday,Weekdays
2123,"Thursday, 5 February 2015",12:54:56 PM,1:00:00 PM,Thursday,Weekdays
2124,"Thursday, 5 February 2015",12:56:27 PM,1:00:00 PM,Thursday,Weekdays
2125,"Thursday, 5 February 2015",1:06:10 PM,1:00:00 PM,Thursday,Weekdays
2546,"Thursday, 12 February 2015",12:41:02 PM,1:00:00 PM,Thursday,Weekdays
2547,"Thursday, 12 February 2015",12:45:49 PM,1:00:00 PM,Thursday,Weekdays
2548,"Thursday, 12 February 2015",12:48:03 PM,1:00:00 PM,Thursday,Weekdays
